datetime,year,month,day,hour,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,zone_4,target,workday
2008-07-01 00:00:00,2008,7,1,0,74.0,60.0,63.0,72.0,69.0,66.0,68.0,71.0,64.0,67.0,59.0,311.0,301.0,1
2008-07-01 01:00:00,2008,7,1,1,74.0,60.0,64.0,71.0,68.0,65.0,66.0,69.0,62.0,65.0,58.0,301.0,280.0,1
2008-07-01 02:00:00,2008,7,1,2,73.0,59.0,65.0,70.0,66.0,65.0,65.0,68.0,62.0,64.0,59.0,280.0,281.0,1
2008-07-01 03:00:00,2008,7,1,3,72.0,58.0,62.0,69.0,67.0,64.0,64.0,66.0,62.0,63.0,56.0,281.0,288.0,1
2008-07-01 04:00:00,2008,7,1,4,72.0,55.0,62.0,67.0,67.0,62.0,64.0,66.0,60.0,63.0,56.0,288.0,316.0,1
2008-07-01 05:00:00,2008,7,1,5,72.0,55.0,64.0,65.0,66.0,61.0,63.0,65.0,60.0,61.0,57.0,316.0,376.0,1
2008-07-01 06:00:00,2008,7,1,6,73.0,59.0,66.0,66.0,68.0,63.0,65.0,66.0,63.0,64.0,58.0,376.0,402.0,1
2008-07-01 07:00:00,2008,7,1,7,78.0,62.0,69.0,70.0,70.0,68.0,69.0,70.0,67.0,68.0,60.0,402.0,426.0,1
2008-07-01 08:00:00,2008,7,1,8,78.0,65.0,72.0,73.0,72.0,71.0,73.0,73.0,71.0,72.0,63.0,426.0,434.0,1
2008-07-01 09:00:00,2008,7,1,9,80.0,67.0,74.0,78.0,74.0,73.0,75.0,76.0,73.0,74.0,65.0,434.0,422.0,1
2008-07-01 10:00:00,2008,7,1,10,81.0,67.0,75.0,80.0,77.0,75.0,76.0,78.0,76.0,75.0,68.0,422.0,437.0,1
2008-07-01 11:00:00,2008,7,1,11,81.0,69.0,78.0,81.0,79.0,77.0,77.0,79.0,75.0,77.0,69.0,437.0,421.0,1
2008-07-01 12:00:00,2008,7,1,12,81.0,70.0,79.0,82.0,81.0,78.0,78.0,81.0,77.0,79.0,68.0,421.0,431.0,1
2008-07-01 13:00:00,2008,7,1,13,81.0,70.0,80.0,84.0,81.0,79.0,80.0,82.0,75.0,79.0,70.0,431.0,415.0,1
