datetime,year,month,day,hour,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,zone_9,target,workday
2004-01-01 00:00:00,2004,1,1,0,46.0,38.0,44.0,45.0,42.0,44.0,45.0,43.0,41.0,42.0,36.0,75243.0,67368.0,0
2004-01-01 01:00:00,2004,1,1,1,46.0,36.0,42.0,43.0,42.0,43.0,44.0,44.0,39.0,43.0,32.0,67368.0,64050.0,0
2004-01-01 02:00:00,2004,1,1,2,45.0,35.0,40.0,41.0,40.0,42.0,41.0,42.0,36.0,43.0,31.0,64050.0,63861.0,0
2004-01-01 03:00:00,2004,1,1,3,41.0,30.0,36.0,37.0,39.0,38.0,40.0,34.0,35.0,39.0,30.0,63861.0,75852.0,0
2004-01-01 04:00:00,2004,1,1,4,39.0,30.0,34.0,33.0,40.0,38.0,35.0,30.0,33.0,35.0,34.0,75852.0,79989.0,0
2004-01-01 05:00:00,2004,1,1,5,35.0,29.0,32.0,32.0,41.0,37.0,35.0,35.0,36.0,35.0,35.0,79989.0,80073.0,0
2004-01-01 06:00:00,2004,1,1,6,33.0,28.0,30.0,30.0,38.0,36.0,33.0,34.0,32.0,33.0,32.0,80073.0,75852.0,0
2004-01-01 07:00:00,2004,1,1,7,33.0,28.0,30.0,29.0,33.0,36.0,30.0,33.0,31.0,33.0,30.0,75852.0,69552.0,0
2004-01-01 08:00:00,2004,1,1,8,36.0,28.0,30.0,30.0,36.0,38.0,31.0,34.0,31.0,35.0,28.0,69552.0,69888.0,0
2004-01-01 09:00:00,2004,1,1,9,47.0,33.0,32.0,41.0,43.0,44.0,39.0,41.0,35.0,42.0,30.0,69888.0,66549.0,0
2004-01-01 10:00:00,2004,1,1,10,53.0,42.0,44.0,49.0,47.0,52.0,44.0,48.0,40.0,51.0,35.0,66549.0,65625.0,0
2004-01-01 11:00:00,2004,1,1,11,54.0,47.0,49.0,54.0,50.0,55.0,51.0,54.0,47.0,55.0,41.0,65625.0,65604.0,0
2004-01-01 12:00:00,2004,1,1,12,55.0,52.0,51.0,58.0,51.0,58.0,55.0,58.0,52.0,59.0,47.0,65604.0,65877.0,0
2004-01-01 13:00:00,2004,1,1,13,55.0,54.0,52.0,59.0,51.0,60.0,56.0,60.0,55.0,60.0,51.0,65877.0,65667.0,0
2004-01-01 14:00:00,2004,1,1,14,55.0,55.0,52.0,60.0,52.0,60.0,59.0,61.0,56.0,61.0,53.0,65667.0,65625.0,0
2004-01-01 15:00:00,2004,1,1,15,55.0,56.0,52.0,60.0,51.0,60.0,60.0,62.0,56.0,62.0,54.0,65625.0,64932.0,0
2004-01-01 16:00:00,2004,1,1,16,52.0,56.0,51.0,57.0,50.0,59.0,56.0,60.0,55.0,59.0,54.0,64932.0,66129.0,0
2004-01-01 17:00:00,2004,1,1,17,46.0,52.0,48.0,51.0,47.0,53.0,51.0,53.0,48.0,53.0,53.0,66129.0,65121.0,0
2004-01-01 18:00:00,2004,1,1,18,40.0,47.0,45.0,46.0,39.0,46.0,46.0,43.0,44.0,46.0,50.0,65121.0,64911.0,0
2004-01-01 19:00:00,2004,1,1,19,40.0,46.0,35.0,43.0,39.0,44.0,42.0,37.0,38.0,43.0,50.0,64911.0,64911.0,0
2004-01-01 20:00:00,2004,1,1,20,39.0,46.0,34.0,40.0,34.0,45.0,40.0,36.0,37.0,44.0,48.0,64911.0,65352.0,0
2004-01-01 21:00:00,2004,1,1,21,38.0,45.0,30.0,37.0,33.0,43.0,38.0,36.0,37.0,42.0,47.0,65352.0,73605.0,0
2004-01-01 22:00:00,2004,1,1,22,40.0,46.0,30.0,39.0,31.0,43.0,41.0,43.0,37.0,44.0,45.0,73605.0,76482.0,0
2004-01-01 23:00:00,2004,1,1,23,41.0,46.0,30.0,42.0,33.0,45.0,41.0,44.0,38.0,46.0,41.0,76482.0,76545.0,0
2004-01-02 00:00:00,2004,1,2,0,43.0,45.0,32.0,42.0,36.0,46.0,41.0,45.0,40.0,47.0,40.0,76545.0,80850.0,1
2004-01-02 01:00:00,2004,1,2,1,44.0,44.0,33.0,44.0,36.0,47.0,42.0,46.0,41.0,48.0,39.0,80850.0,80850.0,1
2004-01-02 02:00:00,2004,1,2,2,46.0,44.0,35.0,45.0,40.0,47.0,43.0,46.0,42.0,48.0,42.0,80850.0,81165.0,1
2004-01-02 03:00:00,2004,1,2,3,46.0,45.0,39.0,45.0,42.0,46.0,45.0,46.0,44.0,48.0,42.0,81165.0,80619.0,1
