"DateTime","zone.1","zone.10","zone.11","zone.12","zone.13","zone.14","zone.15","zone.16","zone.17","zone.18","zone.19","zone.2","zone.20","zone.21","zone.3","zone.4","zone.5","zone.6","zone.7","zone.8","zone.9"
2005-03-06 00:00:00,19964,26459,113552,140417,21302,27740,74218,40411,36845,268789,102241,162096,89800,1123834,174901,528,9061,171157,174901,4091,61215
2005-03-06 01:00:00,19544,25979,112515,137418,20466,27713,73397,40408,36745,267273,101374,160890,88325,1112047,173600,499,8697,169587,173600,3971,61131
2005-03-06 02:00:00,19390,25727,113244,137204,20255,27946,73522,40840,37248,271000,102301,160924,87680,1117281,173637,469,8595,169519,173637,3975,73038
2005-03-06 03:00:00,19442,25916,113990,138264,20117,28668,74331,41700,37825,276001,103843,158962,87966,1127025,171521,486,8669,167631,171521,3966,74193
2005-03-06 04:00:00,19755,26132,115297,140202,20381,29345,75470,42943,38986,284299,106160,163197,88730,1150897,176090,497,8941,172138,176090,4031,73710
2005-03-06 05:00:00,20008,26571,118413,144008,19468,27609,70692,41868,39069,279620,100528,165197,86399,1139450,178248,524,9360,174557,178248,4158,73689
2005-03-06 06:00:00,20768,27651,123465,151202,20870,29112,74068,44830,41571,293992,105630,171989,92338,1197486,185577,555,10058,182047,185577,4394,73878
2005-03-06 07:00:00,22784,29141,126818,158880,23112,31274,78703,46715,43663,308190,113475,179586,98655,1260996,193773,630,11353,190938,193773,4671,75096
2005-03-06 08:00:00,22850,29078,127719,162387,24324,31452,77967,44652,42086,297664,111577,183793,100484,1256033,198312,649,11357,195150,198312,4894,78477
2005-03-06 09:00:00,20927,28182,123253,158535,23998,28163,70966,40156,38372,270675,101279,184259,96507,1185272,198815,640,10743,195002,198815,4587,78414
2005-03-06 10:00:00,19005,26577,116518,150325,22268,24271,62456,34912,34226,244295,87546,177069,89931,1089399,191058,583,9518,186587,191058,4337,78309
2005-03-06 11:00:00,17060,24758,109167,141126,20744,21581,56714,31463,30815,229976,77839,169932,85395,1016570,183358,565,8708,178641,183358,4038,67053
2005-03-06 12:00:00,16065,23443,102730,131401,19854,19871,53459,28688,28918,211226,73017,162912,83377,954961,175783,533,7979,170891,175783,3954,64911
2005-03-06 13:00:00,15334,22547,97040,124326,19037,18530,50595,26658,27543,195589,68131,155127,80236,900693,167383,515,7666,162793,167383,3763,63084
2005-03-06 14:00:00,14535,21643,92612,120811,17665,17358,47547,24649,26261,182578,63229,151681,77604,858173,163665,470,7139,158821,163665,3658,60921
2005-03-06 15:00:00,13955,20846,90533,119564,17104,16539,45820,23402,25267,175736,60627,148210,76258,833861,159918,450,6799,155009,159918,3484,61215
2005-03-06 16:00:00,13712,20539,91422,120525,17141,16488,46458,23452,25420,177619,60876,149373,76585,839610,161173,446,6821,156194,161173,3433,61929
2005-03-06 17:00:00,14372,21372,96442,127682,18129,17388,48684,25574,26961,188512,65156,153728,80482,884482,165872,459,7513,161240,165872,3684,69930
2005-03-06 18:00:00,16392,24689,108707,145115,20699,20470,55682,29768,30660,217287,76905,171318,88788,1006480,184853,547,9078,180397,184853,3978,74487
2005-03-06 19:00:00,18253,26016,114405,152004,22435,22236,60486,31328,32524,231498,83991,175893,93361,1064430,189788,584,9787,185680,189788,4323,74508
2005-03-06 20:00:00,18355,25642,111904,148516,21949,22497,60779,30821,32431,226142,83117,175858,92103,1050114,189752,557,9346,185204,189752,4373,76944
2005-03-06 21:00:00,17157,24452,105168,138547,20847,21599,58693,29213,31223,213976,78293,166342,88080,993590,179483,564,8559,174900,179483,4114,77448
2005-03-06 22:00:00,16089,22705,96091,126464,20542,21567,60213,28745,30289,206179,77492,155411,85018,946805,167689,485,7470,162881,167689,3656,76629
2005-03-06 23:00:00,15146,20918,87815,113857,18568,19537,55871,26996,28477,189176,71592,145988,78051,871992,157521,470,6591,152579,157521,3362,76713
2005-03-07 00:00:00,14218,19845,82710,106344,17350,18086,53084,25979,27518,180359,67988,140479,74145,828105,151578,430,6157,146636,151578,3119,76482
2005-03-07 01:00:00,14379,19792,81239,104011,17197,17718,52250,26080,27269,178949,67045,141926,72844,820699,153138,429,6051,147977,153138,3051,76062
2005-03-07 02:00:00,14728,20083,82069,103764,17248,17963,53122,26328,27823,181002,67514,140370,73426,825440,151460,424,6105,146475,151460,3069,75957
2005-03-07 03:00:00,15194,20378,84100,104967,17654,18819,54875,26907,28445,186543,70274,143290,76019,847465,154610,435,6328,149618,154610,3172,76524
2005-03-07 04:00:00,16441,21977,87210,108374,18541,20546,58508,28170,30498,197991,75142,152678,80167,896243,164739,461,6946,159623,164739,3421,77658
2005-03-07 05:00:00,18695,25554,96358,120558,19297,21427,60365,29257,33716,210116,80784,166623,85073,967823,179786,495,8207,174830,179786,3748,77847
2005-03-07 06:00:00,22091,29402,117913,145018,23273,25300,71827,34427,39079,245616,97762,189525,101577,1142810,204497,586,9959,199483,204497,4215,77469
2005-03-07 07:00:00,22433,31020,121455,142518,24325,24317,72257,33904,36540,241132,94491,195255,104493,1144140,210680,620,9431,204686,210680,4330,77553
2005-03-07 08:00:00,19830,27959,109089,123540,22171,20466,65054,29368,32626,216765,80542,190201,96524,1034135,205227,548,8204,198405,205227,4095,78372
2005-03-07 09:00:00,17989,26189,99472,111945,21028,17520,58896,25797,30838,198494,71272,186262,90547,956249,200977,490,7308,193570,200977,3777,79002
2005-03-07 10:00:00,15848,25692,93282,104184,19930,15668,53644,23129,28678,182489,64480,179014,86236,892274,193156,493,6306,185320,193156,3614,78225
2005-03-07 11:00:00,14328,25071,89165,98315,18786,14332,50832,21349,27277,169314,59496,172800,84017,845082,186452,481,5798,178598,186452,3418,75474
2005-03-07 12:00:00,13420,24258,83582,93724,17821,13581,48106,19864,26136,159218,55000,170658,81790,807158,184141,423,5472,176130,184141,3244,66885
2005-03-07 13:00:00,12747,23695,82466,89142,17581,12723,47985,18814,25293,153831,53052,165345,79598,782272,178408,407,5267,170612,178408,3069,62475
2005-03-07 14:00:00,12262,23028,80720,87040,17048,12218,46701,18022,24421,149145,49369,162290,78375,760639,175111,408,5087,167377,175111,2939,62244
2005-03-07 15:00:00,12444,22463,81089,86784,16888,12302,46345,17846,24249,148672,48786,158610,77796,754274,171140,412,5259,163869,171140,2983,62769
2005-03-07 16:00:00,13368,23050,82373,92660,17535,12878,46874,18496,25520,155687,52249,163421,79489,783600,176332,441,5686,169107,176332,3122,62412
2005-03-07 17:00:00,14778,24709,88054,102860,18481,14443,48610,20484,26729,166056,58034,164122,85056,832416,177088,493,6445,170567,177088,3517,61782
2005-03-07 18:00:00,16684,28170,103024,123949,20659,18011,55109,24740,30264,196940,69801,181297,93270,961918,195620,553,7933,189230,195620,3845,62097
2005-03-07 19:00:00,17935,28970,108955,131648,21606,19529,57775,26413,31446,210861,75415,180813,95000,1006366,195098,593,8730,189543,195098,4001,78561
2005-03-07 20:00:00,17476,28481,105372,127523,20906,19126,56656,25423,30746,201531,72424,176186,91947,973797,190106,552,8210,184397,190106,3804,79317
2005-03-07 21:00:00,16448,26603,98812,118033,19305,17841,53324,23379,29238,185429,66338,167903,87088,909741,181168,508,7195,175098,181168,3650,79317
2005-03-07 22:00:00,14489,24327,89293,105854,18832,17034,52508,21775,27392,171142,63215,153027,82650,841538,165117,489,5944,158971,165117,3260,78876
2005-03-07 23:00:00,12885,21701,79804,93221,16442,14687,47482,19109,24671,148981,54418,142512,74731,750644,153770,423,5027,147539,153770,2866,78603
2005-03-08 00:00:00,11812,19995,73551,84670,14908,13044,44217,17491,22370,135206,49133,135538,68962,690897,146246,393,4464,140002,146246,2653,77049
2005-03-08 01:00:00,11383,19467,70792,80417,14069,12666,43085,16950,21249,129166,47973,133792,67050,668059,144361,377,4218,138009,144361,2628,78708
2005-03-08 02:00:00,11501,19600,70305,78921,14161,12590,42767,16906,20962,127758,47486,131394,65980,660331,141775,373,4226,135620,141775,2576,78036
2005-03-08 03:00:00,11367,19757,71043,79126,14368,12828,43338,17439,21130,128967,48546,132918,66988,667815,143418,362,4352,137269,143418,2719,78309
2005-03-08 04:00:00,11917,20575,74450,82935,15139,14018,45728,18628,22373,138411,52366,138726,70171,705437,149685,408,4892,143618,149685,3011,77931
2005-03-08 05:00:00,13806,23444,82640,94809,16285,15056,46883,20228,25437,154315,57901,153550,76001,780355,165681,414,5862,159412,165681,3464,78435
2005-03-08 06:00:00,17086,27437,100766,119664,20327,18824,57980,25293,30428,193634,74490,179400,93007,958336,193573,537,7840,187240,193573,4044,75075
2005-03-08 07:00:00,18645,29118,108484,122960,22345,18632,61061,27004,30117,203999,75227,195541,101491,1014624,210989,592,8201,203742,210989,4363,73878
2005-03-08 08:00:00,19068,28085,104595,114913,21862,17706,58849,26279,29157,205447,70187,196834,99607,992589,212385,570,8267,205102,212385,4271,65142
2005-03-08 09:00:00,18565,27906,104618,114502,22256,16534,59308,28038,27805,221396,71397,208129,102096,1022550,224572,575,8866,216995,224572,4414,64512
2005-03-08 10:00:00,18828,28400,107994,119192,22548,16342,61831,30774,29449,235964,75165,213158,101886,1061531,229997,573,9522,222680,229997,4445,64995
2005-03-08 11:00:00,19932,30268,112210,125869,22581,18416,62939,34205,31560,256316,78738,216546,103445,1113025,233653,586,9716,226262,233653,4416,67872
2005-03-08 12:00:00,18638,31694,117089,133291,21769,21277,61361,37016,33922,259688,78924,211238,101649,1127556,227927,542,9540,220778,227927,4299,70350
2005-03-08 13:00:00,17722,31452,125525,143617,21307,22673,60901,38465,34461,247405,75865,206748,98895,1125036,223081,537,9045,215793,223081,3962,81228
2005-03-08 14:00:00,16833,30252,131669,152033,21161,22032,60042,36973,32811,232903,72186,203465,98216,1110576,219539,541,8516,211981,219539,3707,80136
2005-03-08 15:00:00,17542,31560,135307,159682,21685,21567,59747,35305,31878,227206,72654,204077,98884,1117094,220200,533,8570,212647,220200,4380,79401
2005-03-08 16:00:00,19060,34668,136690,167664,23046,22347,61721,36184,33245,238611,78988,209705,103677,1165606,226273,576,9412,219118,226273,4708,78078
2005-03-08 17:00:00,21341,36977,144441,158469,25318,24928,66506,39097,36132,265791,89733,226732,114067,1249532,244645,623,10981,237713,244645,5128,78288
2005-03-08 18:00:00,25001,40335,154873,203629,28621,28891,77203,44758,40763,307334,106556,245225,130304,1433493,264599,712,12906,258131,264599,5589,78267
2005-03-08 19:00:00,30002,42416,159938,209999,29797,30351,82309,48339,42377,323843,113980,246117,129910,1489378,265561,745,13654,259771,265561,5863,77742
2005-03-08 20:00:00,28421,36819,159306,209317,29576,30022,82524,47228,42143,319243,112996,242921,128087,1468603,262112,741,13358,256278,262112,5560,74508
2005-03-08 21:00:00,27580,37743,159345,201057,28358,29471,80378,45616,41190,307470,108423,235943,123824,1426398,254584,739,12682,248625,254584,5531,66696
2005-03-08 22:00:00,25607,37232,153470,191107,28261,30774,83206,46038,40091,302875,110202,223906,121747,1394516,241596,702,11666,235572,241596,5064,60795
2005-03-08 23:00:00,24268,34685,144954,179196,25855,28843,77149,44084,37965,286245,102994,210154,112645,1309037,226757,649,10819,220973,226757,4705,61341
2005-03-09 00:00:00,23559,34143,139967,171036,24955,27716,74646,43513,37744,278780,99593,207779,107707,1271138,224195,596,10129,217908,224195,4483,61236
2005-03-09 01:00:00,23216,33844,139423,169419,24250,27738,75758,44079,37663,274807,99485,205088,106333,1261103,221290,590,9952,215040,221290,4430,60753
2005-03-09 02:00:00,23526,33905,140114,169875,24182,27978,76159,45356,37507,281424,101345,205552,104362,1271285,221792,574,9984,215536,221792,4424,60669
2005-03-09 03:00:00,23883,33595,141957,170606,24512,28574,76599,46675,38675,289787,104125,204214,105865,1289067,220347,577,10230,214443,220347,4475,60816
2005-03-09 04:00:00,24751,34457,145398,173740,25248,30144,78910,48319,40999,308227,110347,212362,109549,1342451,229140,589,10986,223348,229140,4753,60606
2005-03-09 05:00:00,27414,37080,154686,185887,25554,30254,78107,48063,43627,320721,113131,225704,112097,1402325,243535,615,12014,237718,243535,5083,37800
2005-03-09 06:00:00,30664,40334,165110,207815,29014,34085,86659,53063,48205,343761,130525,244690,124800,1538725,264021,740,13265,257955,264021,5469,23037
2005-03-09 07:00:00,29670,40283,162596,199324,29760,32245,86147,49617,45482,328743,124185,247496,125890,1501438,267049,745,12483,259980,267049,5449,21273
2005-03-09 08:00:00,26087,37922,157004,183323,28996,29055,82188,42804,40840,331228,106602,237059,118153,1421261,255788,674,12395,249455,255788,5138,32151
2005-03-09 09:00:00,23904,35496,148432,173275,26551,25036,74430,41053,36918,277393,95353,226752,110274,1294867,244666,620,10249,237001,244666,4755,61614
2005-03-09 10:00:00,22339,33518,142177,165699,25002,23345,70062,35909,34943,254187,88718,220841,105723,1222463,238287,603,9354,230194,238287,4566,66129
2005-03-09 11:00:00,20666,32494,136170,158729,23625,22250,65569,33186,33426,238890,82170,215686,102037,1164898,232726,592,8754,224440,232726,4360,78204
2005-03-09 12:00:00,18632,31671,128743,152696,22575,20817,61696,31488,32114,222642,76307,211450,98828,1109659,228155,570,8313,219763,228155,4193,78120
2005-03-09 13:00:00,17689,30531,125545,145878,21769,19189,58401,29909,30463,210956,72518,203868,95467,1062183,219974,542,7858,211726,219974,4124,78876
2005-03-09 14:00:00,16529,29304,120810,141476,21033,18293,56512,28377,29883,200645,68529,196626,92834,1020851,212160,533,7488,204114,212160,3962,78015
2005-03-09 15:00:00,16338,28798,118945,140492,20866,18162,56562,27985,29426,196866,68327,194210,91697,1008674,209552,513,7414,201623,209552,4058,78792
2005-03-09 16:00:00,17101,28746,120443,145957,21507,19305,57605,28664,30662,206927,72832,197564,94432,1041745,213172,577,7962,205526,213172,4412,78309
2005-03-09 17:00:00,19013,30424,127864,159306,23310,21658,60570,32465,33580,229763,81732,206141,102561,1128387,222427,641,9212,215353,222427,4905,78414
2005-03-09 18:00:00,22121,34772,143839,179919,26145,26099,70380,38629,38773,272539,97543,226784,114613,1292156,244700,689,11234,238018,244700,5425,79044
2005-03-09 19:00:00,24473,36580,150362,188747,27559,28434,76421,41267,41339,295016,106716,230192,119556,1366662,248378,711,12307,242499,248378,5669,78729
2005-03-09 20:00:00,24882,36734,149324,190087,27886,28992,77422,41706,42049,297085,108248,229298,119606,1373319,247412,723,12353,241650,247412,5551,78918
2005-03-09 21:00:00,24508,35734,143883,180811,26722,28425,75875,40429,41406,287746,104384,221670,115518,1327111,239183,698,11430,233100,239183,5266,78645
2005-03-09 22:00:00,23103,33176,135453,168738,26885,28981,78772,40943,40635,286199,105652,207311,113158,1289006,223689,647,10527,217838,223689,4889,79317
2005-03-09 23:00:00,22069,30587,126760,156158,24643,26823,73363,39047,38372,270073,96627,194312,105182,1204016,209663,582,9682,203994,209663,4490,79674
2005-03-10 00:00:00,21758,29457,122415,150930,23433,25635,70016,38229,37130,265894,92090,193501,101836,1172324,208789,569,9307,202808,208789,4333,79695
2005-03-10 01:00:00,21925,28883,122622,150122,23356,25469,70055,38572,36095,267887,91597,194199,101146,1171928,209542,558,9389,203588,209542,4234,79590
